community_area,COMMUNITY
35,DOUGLAS
36,OAKLAND
37,FULLER PARK
38,GRAND BOULEVARD
39,KENWOOD
4,LINCOLN SQUARE
40,WASHINGTON PARK
41,HYDE PARK
14,ALBANY PARK
15,PORTAGE PARK
16,IRVING PARK
18,MONTCLARE
19,BELMONT CRAGIN
2,WEST RIDGE
20,HERMOSA
21,AVONDALE
22,LOGAN SQUARE
23,HUMBOLDT PARK
24,WEST TOWN
26,WEST GARFIELD PARK
27,EAST GARFIELD PARK
28,NEAR WEST SIDE
29,NORTH LAWNDALE
30,SOUTH LAWNDALE
31,LOWER WEST SIDE
34,ARMOUR SQUARE
32,LOOP
44,CHATHAM
45,AVALON PARK
47,BURNSIDE
59,MCKINLEY PARK
48,CALUMET HEIGHTS
49,ROSELAND
5,NORTH CENTER
50,PULLMAN
51,SOUTH DEERING
54,RIVERDALE
55,HEGEWISCH
57,ARCHER HEIGHTS
58,BRIGHTON PARK
60,BRIDGEPORT
61,NEW CITY
62,WEST ELSDON
63,GAGE PARK
64,CLEARING
65,WEST LAWN
66,CHICAGO LAWN
67,WEST ENGLEWOOD
68,ENGLEWOOD
69,GREATER GRAND CROSSING
70,ASHBURN
71,AUBURN GRESHAM
72,BEVERLY
73,WASHINGTON HEIGHTS
74,MOUNT GREENWOOD
75,MORGAN PARK
77,EDGEWATER
9,EDISON PARK
